Back to Contents,Data 1: U.S. Dry Natural Gas Production (MMcf)
Sourcekey,N9070US2
Date,U.S. Dry Natural Gas Production (MMcf)
Jan-1997,1617923
Feb-1997,1465907
Mar-1997,1627602
Apr-1997,1551268
May-1997,1610527
Jun-1997,1525325
Jul-1997,1584526
Aug-1997,1581520
Sep-1997,1545194
Oct-1997,1597116
Nov-1997,1547069
Dec-1997,1575412
Jan-1998,1658885
Feb-1998,1476580
Mar-1998,1648339
Apr-1998,1591701
May-1998,1650538
Jun-1998,1582144
Jul-1998,1611386
Aug-1998,1622594
Sep-1998,1473001
Oct-1998,1589442
Nov-1998,1539977
Dec-1998,1578976
Jan-1999,1625336
Feb-1999,1465120
Mar-1999,1621893
Apr-1999,1549496
May-1999,1578623
Jun-1999,1540990
Jul-1999,1585739
Aug-1999,1582361
Sep-1999,1531563
Oct-1999,1587111
Nov-1999,1560232
Dec-1999,1603767
Jan-2000,1622726
Feb-2000,1494676
Mar-2000,1635707
Apr-2000,1546594
May-2000,1606752
Jun-2000,1568345
Jul-2000,1620073
Aug-2000,1632320
Sep-2000,1579598
Oct-2000,1661990
Nov-2000,1581133
Dec-2000,1632066
Jan-2001,1671928
Feb-2001,1509163
Mar-2001,1684817
Apr-2001,1624316
May-2001,1681372
Jun-2001,1607397
Jul-2001,1656620
Aug-2001,1656714
Sep-2001,1610366
Oct-2001,1675894
Nov-2001,1593864
Dec-2001,1643859
Jan-2002,1618892
Feb-2002,1449623
Mar-2002,1619570
Apr-2002,1565063
May-2002,1628885
Jun-2002,1569228
Jul-2002,1636448
Aug-2002,1603278
Sep-2002,1516304
Oct-2002,1551787
Nov-2002,1555595
Dec-2002,1613115
Jan-2003,1616551
Feb-2003,1469711
Mar-2003,1662980
Apr-2003,1592310
May-2003,1625900
Jun-2003,1574488
Jul-2003,1594080
Aug-2003,1626469
Sep-2003,1566968
Oct-2003,1620293
Nov-2003,1549049
Dec-2003,1599746
Jan-2004,1594905
Feb-2004,1477801
Mar-2004,1605170
Apr-2004,1551873
May-2004,1575675
Jun-2004,1542230
Jul-2004,1589277
Aug-2004,1575564
Sep-2004,1476771
Oct-2004,1543492
Nov-2004,1508532
Dec-2004,1549599
Jan-2005,1557077
Feb-2005,1428897
Mar-2005,1609208
Apr-2005,1539843
May-2005,1575574
Jun-2005,1537105
Jul-2005,1552062
Aug-2005,1544420
Sep-2005,1336065
Oct-2005,1407287
Nov-2005,1444276
Dec-2005,1518785
Jan-2006,1535797
Feb-2006,1383249
Mar-2006,1555228
Apr-2006,1497231
May-2006,1555948
Jun-2006,1538715
Jul-2006,1573274
Aug-2006,1578728
Sep-2006,1541937
Oct-2006,1597178
Nov-2006,1539917
Dec-2006,1606404
Jan-2007,1576351
Feb-2007,1443745
Mar-2007,1624634
Apr-2007,1551743
May-2007,1643202
Jun-2007,1589702
Jul-2007,1624779
Aug-2007,1633875
Sep-2007,1597600
Oct-2007,1653527
Nov-2007,1633438
Dec-2007,1693431
Jan-2008,1685717
Feb-2008,1590851
Mar-2008,1722591
Apr-2008,1661637
May-2008,1716720
Jun-2008,1681469
Jul-2008,1769052
Aug-2008,1743909
Sep-2008,1488620
Oct-2008,1675027
Nov-2008,1678551
Dec-2008,1744458
Jan-2009,1781981
Feb-2009,1624266
Mar-2009,1786352
Apr-2009,1698876
May-2009,1756127
Jun-2009,1707221
Jul-2009,1741332
Aug-2009,1755132
Sep-2009,1651952
Oct-2009,1729056
Nov-2009,1674378
Dec-2009,1717182
Jan-2010,1737233
Feb-2010,1602690
Mar-2010,1775686
Apr-2010,1726918
May-2010,1796596
Jun-2010,1716613
Jul-2010,1805745
Aug-2010,1826614
Sep-2010,1772370
Oct-2010,1862916
Nov-2010,1802484
Dec-2010,1889640
Jan-2011,1860566
Feb-2011,1647326
Mar-2011,1907851
Apr-2011,1868299
May-2011,1934850
Jun-2011,1862207
Jul-2011,1936850
Aug-2011,1959548
Sep-2011,1893345
Oct-2011,2018734
Nov-2011,1978161
Dec-2011,2034141
Jan-2012,2046268
Feb-2012,1876815
Mar-2012,2013944
Apr-2012,1943437
May-2012,2016486
Jun-2012,1939055
Jul-2012,2055476
Aug-2012,2045359
Sep-2012,1990747
Oct-2012,2061550
Nov-2012,1997917
Dec-2012,2046213
Jan-2013,2023011
Feb-2013,1832561
Mar-2013,2023443
Apr-2013,1983451
May-2013,2042563
Jun-2013,1973764
Jul-2013,2079830
Aug-2013,2075354
Sep-2013,2003186
Oct-2013,2076228
Nov-2013,2029834
Dec-2013,2062296
Jan-2014,2079247
Feb-2014,1884546
Mar-2014,2114031
Apr-2014,2076597
May-2014,2164658
Jun-2014,2103954
Jul-2014,2204611
Aug-2014,2219479
Sep-2014,2161785
Oct-2014,2255091
Nov-2014,2188559
Dec-2014,2275939
Jan-2015,2265539
Feb-2015,2059570
Mar-2015,2296707
Apr-2015,2235788
May-2015,2287383
Jun-2015,2229074
Jul-2015,2313621
Aug-2015,2325646
Sep-2015,2262709
Oct-2015,2303042
Nov-2015,2226847
Dec-2015,2290481
Jan-2016,2299165
Feb-2016,2183206
,