Date,Price of U.S. Natural Gas Imports (Dollars per Thousand Cubic Feet)
Jan-1989,1.72
Feb-1989,1.88
Mar-1989,1.81
Apr-1989,1.73
May-1989,1.76
Jun-1989,1.81
Jul-1989,1.75
Aug-1989,1.77
Sep-1989,1.77
Oct-1989,1.78
Nov-1989,1.91
Dec-1989,1.99
Jan-1990,2.12
Feb-1990,2.1
Mar-1990,1.99
Apr-1990,1.82
May-1990,1.79
Jun-1990,1.79
Jul-1990,1.83
Aug-1990,1.78
Sep-1990,1.8
Oct-1990,1.84
Nov-1990,2.12
Dec-1990,2.13
Jan-1991,2.11
Feb-1991,1.92
Mar-1991,1.86
Apr-1991,1.79
May-1991,1.74
Jun-1991,1.72
Jul-1991,1.68
Aug-1991,1.6
Sep-1991,1.67
Oct-1991,1.8
Nov-1991,1.91
Dec-1991,1.98
Jan-1992,1.98
Feb-1992,1.68
Mar-1992,1.65
Apr-1992,1.63
May-1992,1.66
Jun-1992,1.77
Jul-1992,1.7
Aug-1992,1.83
Sep-1992,1.96
Oct-1992,2.22
Nov-1992,1.96
Dec-1992,2.13
Jan-1993,2.07
Feb-1993,1.89
Mar-1993,1.94
Apr-1993,2.03
May-1993,2.17
Jun-1993,1.98
Jul-1993,1.92
Aug-1993,1.97
Sep-1993,2.09
Oct-1993,1.93
Nov-1993,2.07
Dec-1993,2.27
Jan-1994,2.11
Feb-1994,2.24
Mar-1994,2.21
Apr-1994,1.96
May-1994,1.94
Jun-1994,1.77
Jul-1994,1.82
Aug-1994,1.76
Sep-1994,1.66
Oct-1994,1.54
Nov-1994,1.71
Dec-1994,1.72
Jan-1995,1.6
Feb-1995,1.46
Mar-1995,1.4
Apr-1995,1.37
May-1995,1.46
Jun-1995,1.47
Jul-1995,1.4
Aug-1995,1.34
Sep-1995,1.43
Oct-1995,1.48
Nov-1995,1.61
Dec-1995,1.8
Jan-1996,2.09
Feb-1996,1.95
Mar-1996,1.92
Apr-1996,1.87
May-1996,1.72
Jun-1996,1.7
Jul-1996,1.84
Aug-1996,1.8
Sep-1996,1.62
Oct-1996,1.71
Nov-1996,2.26
Dec-1996,3
Jan-1997,3.26
Feb-1997,2.52
Mar-1997,1.72
Apr-1997,1.67
May-1997,1.83
Jun-1997,1.88
Jul-1997,1.84
Aug-1997,1.83
Sep-1997,2.01
Oct-1997,2.33
Nov-1997,2.72
Dec-1997,2.19
Jan-1998,2.08
Feb-1998,1.94
Mar-1998,1.98
Apr-1998,2.04
May-1998,2.02
Jun-1998,1.88
Jul-1998,1.97
Aug-1998,1.82
Sep-1998,1.68
Oct-1998,1.93
Nov-1998,2.12
Dec-1998,2.16
Jan-1999,2.03
Feb-1999,1.93
Mar-1999,1.8
Apr-1999,1.85
May-1999,2.17
Jun-1999,2.13
Jul-1999,2.18
Aug-1999,2.39
Sep-1999,2.63
Oct-1999,2.5
Nov-1999,2.85
Dec-1999,2.34
Jan-2000,2.44
Feb-2000,2.6
Mar-2000,2.61
Apr-2000,2.86
May-2000,3.05
Jun-2000,3.87
Jul-2000,3.94
Aug-2000,3.62
Sep-2000,4.15
Oct-2000,5.16
Nov-2000,4.86
Dec-2000,7.35
Jan-2001,9.47
Feb-2001,6.45
Mar-2001,5.42
Apr-2001,5.35
May-2001,4.95
Jun-2001,3.94
Jul-2001,3.17
Aug-2001,3.14
Sep-2001,2.63
Oct-2001,2.14
Nov-2001,2.95
Dec-2001,2.68
Jan-2002,2.73
Feb-2002,2.32
Mar-2002,2.61
Apr-2002,3.27
May-2002,3.25
Jun-2002,3.08
Jul-2002,2.84
Aug-2002,2.7
Sep-2002,3.06
Oct-2002,3.56
Nov-2002,4.04
Dec-2002,4.2
Jan-2003,4.89
Feb-2003,5.71
Mar-2003,7.61
Apr-2003,5
May-2003,5.04
Jun-2003,5.53
Jul-2003,5.11
Aug-2003,4.54
Sep-2003,4.67
Oct-2003,4.48
Nov-2003,4.51
Dec-2003,5.08
Jan-2004,5.98
Feb-2004,5.67
Mar-2004,5.15
Apr-2004,5.21
May-2004,5.63
Jun-2004,6.06
Jul-2004,5.75
Aug-2004,5.62
Sep-2004,4.96
Oct-2004,5.38
Nov-2004,6.98
Dec-2004,6.96
Jan-2005,6.3
Feb-2005,6.14
Mar-2005,6.24
Apr-2005,6.92
May-2005,6.58
Jun-2005,6.35
Jul-2005,6.82
Aug-2005,7.5
Sep-2005,9.96
Oct-2005,11.99
Nov-2005,11.31
Dec-2005,10.91
Jan-2006,10.11
Feb-2006,7.96
Mar-2006,7
Apr-2006,6.73
May-2006,6.53
Jun-2006,5.83
Jul-2006,5.95
Aug-2006,6.74
Sep-2006,5.83
Oct-2006,4.88
Nov-2006,7.24
Dec-2006,7.6
Jan-2007,6.5
Feb-2007,7.39
Mar-2007,7.45
Apr-2007,7.24
May-2007,7.45
Jun-2007,7.32
Jul-2007,6.56
Aug-2007,6
Sep-2007,5.49
Oct-2007,6.35
Nov-2007,7.21
Dec-2007,7.51
Jan-2008,7.66
Feb-2008,8.34
Mar-2008,9.03
Apr-2008,9.61
May-2008,10.8
Jun-2008,11.71
Jul-2008,11.78
Aug-2008,8.67
Sep-2008,7.54
Oct-2008,6.87
Nov-2008,6.54
Dec-2008,6.74
Jan-2009,6.18
Feb-2009,5.21
Mar-2009,4.34
Apr-2009,3.67
May-2009,3.48
Jun-2009,3.51
Jul-2009,3.5
Aug-2009,3.29
Sep-2009,2.91
Oct-2009,3.92
Nov-2009,4.4
Dec-2009,5.23
Jan-2010,5.95
Feb-2010,5.62
Mar-2010,4.87
Apr-2010,4.13
May-2010,4.13
Jun-2010,4.23
Jul-2010,4.4
Aug-2010,4.13
Sep-2010,3.76
Oct-2010,3.83
Nov-2010,3.96
Dec-2010,4.56
Jan-2011,4.66
Feb-2011,4.49
Mar-2011,4.24
Apr-2011,4.35
May-2011,4.31
Jun-2011,4.6
Jul-2011,4.39
Aug-2011,4.4
Sep-2011,3.92
Oct-2011,4.06
Nov-2011,3.58
Dec-2011,3.66
Jan-2012,3.27
Feb-2012,2.86
Mar-2012,2.36
Apr-2012,2.04
May-2012,2.29
Jun-2012,2.35
Jul-2012,2.78
Aug-2012,2.83
Sep-2012,2.67
Oct-2012,3.16
Nov-2012,4.03
Dec-2012,3.93
Jan-2013,4.14
Feb-2013,3.99
Mar-2013,3.84
Apr-2013,3.98
May-2013,3.94
Jun-2013,3.9
Jul-2013,3.41
Aug-2013,3.17
Sep-2013,3.49
Oct-2013,3.4
Nov-2013,3.77
Dec-2013,4.75
Jan-2014,7.15
Feb-2014,9.11
Mar-2014,8.12
Apr-2014,5.11
May-2014,4.6
Jun-2014,5.32
Jul-2014,4.77
Aug-2014,3.87
Sep-2014,4.24
Oct-2014,3.87
Nov-2014,3.97
Dec-2014,4.44
Jan-2015,4.75
Feb-2015,5.46
Mar-2015,3.9
Apr-2015,2.59
May-2015,2.52
Jun-2015,2.56
Jul-2015,2.66
Aug-2015,2.74
Sep-2015,2.75
Oct-2015,3.23
Nov-2015,2.4
Dec-2015,2.28
Jan-2016,2.8
Feb-2016,2.43